Date,Nifty,NiftyLag1,NiftyLag2,NiftyLag3
2020-05-01,9580.3,9859.9,8597.75,11201.75
2020-06-01,10302.1,9580.3,9859.9,8597.75
2020-07-01,11073.45,10302.1,9580.3,9859.9
2020-08-01,11387.5,11073.45,10302.1,9580.3
2020-09-01,11247.55,11387.5,11073.45,10302.1
2020-10-01,11642.4,11247.55,11387.5,11073.45
2020-11-01,12968.95,11642.4,11247.55,11387.5
2020-12-01,13981.75,12968.95,11642.4,11247.55
2021-01-01,13634.6,13981.75,12968.95,11642.4
2021-02-01,14529.15,13634.6,13981.75,12968.95
2021-03-01,14690.7,14529.15,13634.6,13981.75
2021-04-01,14631.1,14690.7,14529.15,13634.6
2021-05-01,15582.8,14631.1,14690.7,14529.15
2021-06-01,15721.5,15582.8,14631.1,14690.7
2021-07-01,15763.05,15721.5,15582.8,14631.1
2021-08-01,17132.2,15763.05,15721.5,15582.8
2021-09-01,17618.15,17132.2,15763.05,15721.5
2021-10-01,17671.65,17618.15,17132.2,15763.05
2021-11-01,16983.2,17671.65,17618.15,17132.2
2021-12-01,17354.05,16983.2,17671.65,17618.15
2022-01-01,17339.85,17354.05,16983.2,17671.65
2022-02-01,16793.9,17339.85,17354.05,16983.2
2022-03-01,17464.75,16793.9,17339.85,17354.05
2022-04-01,17102.55,17464.75,16793.9,17339.85
2022-05-01,16584.55,17102.55,17464.75,16793.9
2022-06-01,15780.25,16584.55,17102.55,17464.75
2022-07-01,17158.25,15780.25,16584.55,17102.55
2022-08-01,17759.3,17158.25,15780.25,16584.55
2022-09-01,17094.35,17759.3,17158.25,15780.25
2022-10-01,18012.2,17094.35,17759.3,17158.25
2022-11-01,18758.35,18012.2,17094.35,17759.3
2022-12-01,18105.3,18758.35,18012.2,17094.35
2023-01-01,17662.15,18105.3,18758.35,18012.2
2023-02-01,17303.95,17662.15,18105.3,18758.35
2023-03-01,17359.75,17303.95,17662.15,18105.3
2023-04-01,18065.0,17359.75,17303.95,17662.15
2023-05-01,18534.4,18065.0,17359.75,17303.95
2023-06-01,19189.05,18534.4,18065.0,17359.75
2023-07-01,19753.8,19189.05,18534.4,18065.0
2023-08-01,19253.8,19753.8,19189.05,18534.4
2023-09-01,19638.3,19253.8,19753.8,19189.05
2023-10-01,19079.6,19638.3,19253.8,19753.8
2023-11-01,20133.15,19079.6,19638.3,19253.8
2023-12-01,21731.4,20133.15,19079.6,19638.3
2024-01-01,21725.7,21731.4,20133.15,19079.6
2024-02-01,21982.8,21725.7,21731.4,20133.15
2024-03-01,22326.9,21982.8,21725.7,21731.4
2024-04-01,22604.85,22326.9,21982.8,21725.7
2024-05-01,22530.7,22604.85,22326.9,21982.8
2024-06-01,24010.6,22530.7,22604.85,22326.9
2024-07-01,24951.15,24010.6,22530.7,22604.85
2024-08-01,25235.9,24951.15,24010.6,22530.7
2024-09-01,25810.85,25235.9,24951.15,24010.6
2024-10-01,24205.35,25810.85,25235.9,24951.15
2024-11-01,24131.1,24205.35,25810.85,25235.9
2024-12-01,23644.8,24131.1,24205.35,25810.85
2025-01-01,23508.4,23644.8,24131.1,24205.35
2025-02-01,22124.7,23508.4,23644.8,24131.1
2025-03-01,23519.35,22124.7,23508.4,23644.8
2025-04-01,24334.2,23519.35,22124.7,23508.4
2025-05-01,24750.7,24334.2,23519.35,22124.7
2025-06-01,25517.05,24750.7,24334.2,23519.35
2025-07-01,24768.35,25517.05,24750.7,24334.2
2025-08-01,24426.85,24768.35,25517.05,24750.7
2025-09-01,24611.1,24426.85,24768.35,25517.05
2025-10-01,25722.1,24611.1,24426.85,24768.35
2025-11-01,25468.5,25722.1,24611.1,24426.85
